,School Name,BD,Region,"Before SchoolGrant Program",After School Grant Program,Youth Services
,CARSON-GORE ACADEMY,1,West,,Youth Development Program,Youth Services
,CARTHAY EL ES MAGNET,1,West,,STAR Education,Youth Services
,CARVER MS,5,East,,Woodcraft Rangers,Youth Services
,CASTELAR ST EL,2,East,,LA's Best,Youth Services
,CASTLE HEIGHTS EL,1,West,,STAR Education,Youth Services
,CASTLEBAY LANE CHTR,3,North,,Keep Youth Doing Something,Youth Services
,CASTRO MS,2,East,,A World Fit For Kids!,Youth Services
,CATSKILL AVE EL,7,South,,Gang Alternatives Program,Youth Services
,CHANDLER EL,3,North,,Youth Development Program,Youth Services
,CHAPMAN EL,7,South,,Youth Development Program,Youth Services
,CHARNOCK ROAD EL,1,West,,STAR Education,Youth Services
,CHASE ST EL,6,North,,Youth Development Program,Youth Services
,CHATSWORTH UP/CD MAGNET,3,North,,Woodcraft Rangers,Youth Services
,CHAVEZ EL,2,East,,LA's Best,Youth Services
,CHAVEZ LA SJ HUM AC,6,North,,EduCare Foundation,
,CHEREMOYA AVE EL,5,West,,Youth Development Program,Youth Services
,CIENEGA EL,1,West,,LA's Best,Youth Services
,CIMARRON AVE EL,1,South,,Youth Development Program,Youth Services
,CITY TERRACE EL,2,East,,Youth Development Program,Youth Services
,CLIFFORD ST M/T MAGNET,5,West,,LA's Best,Youth Services
,CLINTON MS,5,East,,YS PLUS,Youth Services
,CLOVER AVE EL,1,West,,STAR Education,Youth Services
,COCHRAN MS,1,West,,L.A. Conservation Corps,Youth Services
,COEUR D'ALENE AVE EL,4,West,,UCLA,Youth Services
,COHASSET ST EL,3,North,Ready-Set-Go!,LA's Best,Youth Services
,COLDWATER CYN EL,6,North,,LA's Best,Youth Services
,COLFAX CEL,3,North,,Team Prime Time,Youth Services
,COLISEUM ST EL,1,South,,LA's Best,Youth Services
,COLUMBUS AVE EL,3,North,,LA's Best,Youth Services
,COLUMBUS MS,3,North,,YS PLUS,Youth Services
,COMMONWEALTH AVE EL,2,East,,Youth Development Program,Youth Services
,COMMUNITY EL MAGNET CS,4,West,,A World Fit For Kids!,Youth Services
,COMPTON AVE EL,7,South,,LA's Best,Youth Services
,CONTRERAS LC ALC,2,East,,A World Fit For Kids!,
,CONTRERAS LC BUS TR,2,East,,A World Fit For Kids!,
,CORONA AVE EL,5,East,,Youth Development Program,Youth Services
,CORTINES SCHOOL OF VAPA,2,East,,EduCare Foundation,
,COUGHLIN EL,6,North,,Youth Development Program,Youth Services
,COWAN AVE EL,4,West,,tbd,Youth Services
,CRENSHAW MAGNET STEMM,1,South,,Children Youth Family Collaborative,
,CRESCENT HEIGHTS BL EL MAGNET,1,West,,LA's Best,Youth Services
,CRESTWOOD ST STEAM MAGNET,7,South,,Creative Brain Learning,Youth Services
,CURTISS MS,7,South,,L.A. Conservation Corps,Youth Services
,DAHLIA HEIGHTS EL,5,East,,Woodcraft Rangers,Youth Services
,DANA MS,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,DANUBE AVE EL,3,North,,Youth Development Program,Youth Services
,DARBY AVE EL,3,North,,After School All Stars,Youth Services
,DAYTON HEIGHTS EL,2,West,Ready-Set-Go!,Youth Development Program,Youth Services
,DE LA TORRE JR EL,7,South,,Woodcraft Rangers,Youth Services
,DEARBORN EL CA,3,North,,After School All Stars,Youth Services
,DEL AMO EL,7,South,,Youth Development Program,Youth Services
,DEL OLMO EL,2,East,,A World Fit For Kids!,Youth Services
,DELEVAN DRIVE EL,5,East,,Youth Development Program,Youth Services
,DENA EL,2,East,Ready-Set-Go!,Youth Development Program,Youth Services
,DENKER AVE EL,7,South,,Youth Development Program,Youth Services
,DIXIE CANYON CC,3,North,,Creative Brain Learning,Youth Services
,DOLORES ST EL,7,South,,Woodcraft Rangers,Youth Services
,DOMINGUEZ EL,7,South,,Youth Development Program,Youth Services
,DORRIS PLACE EL,5,West,,LA's Best,Youth Services
,DORSEY SH,1,South,,Children Youth Family Collaborative,
,DOWNTOWN BUSINESS MAGNET,2,East,,EduCare Foundation,
,DREW MS,7,South,,L.A. Conservation Corps,Youth Services
,DYER ST EL,6,North,,LA's Best,Youth Services
,DYMALLY SH,7,South,,arc,
,EAGLE ROCK EL,5,East,,Youth Development Program,Youth Services
,EAGLE ROCK HS (MS),5,East,,A World Fit For Kids!,Youth Services
,EAGLE ROCK HS,5,East,,A World Fit For Kids!,
,EAST VALLEY SH,6,North,,Keep Youth Doing Something,
,EASTMAN AVE EL,2,East,,Youth Development Program,Youth Services
,EDISON MS,7,South,,After School All Stars,Youth Services
,EL DORADO AVE EL,6,North,,LA's Best,Youth Services
,EL ORO WAY CES,3,North,,Keep Youth Doing Something,Youth Services
,EL SERENO EL,2,East,,LA's Best,Youth Services
,EL SERENO MS,2,East,,Keep Youth Doing Something,Youth Services
,ELIZABETH LC,5,East,,Woodcraft Rangers,Youth Services
,ELYSIAN HEIGHTS ARTS MAGNET,5,West,,LA's Best,Youth Services
,EMELITA ST EL,4,North,,Keep Youth Doing Something,Youth Services
,EMERSON CC,4,West,,Team Prime Time,Youth Services
,ENADIA WAY,3,North,,Youth Development Program,Youth Services
,ENCINO CEL,4,North,,LA's Best,Youth Services
,ERWIN EL,6,North,,Youth Development Program,Youth Services
,ESCALANTE EL,5,East,,Youth Development Program,Youth Services
,ESCUTIA PC,5,East,,LA's Best,
,ESHELMAN AVE EL,7,South,,STAR Education,Youth Services
,ESPERANZA EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,ESTRELLA EL,7,East,,LA's Best,Youth Services
,EUCLID AVE EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,EVERGREEN AVE EL,2,East,,Youth Development Program,Youth Services
,FAIR AVE EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,FAIRBURN AVE EL,4,West,,,Youth Services
,FAIRFAX SH,4,West,,LACER,
,FARMDALE EL,2,East,,LA's Best,Youth Services
,FENTON AVE EL,6,North,,LA's Best,
,FERNANGELES EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,FIGUEROA ST EL,1,South,Ready-Set-Go!,LA's Best,Youth Services
,FISHBURN AVE EL,5,East,,Youth Development Program,Youth Services
,FLEMING MS,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,FLETCHER DR EL,5,West,Ready-Set-Go!,LA's Best,Youth Services
,FLORENCE AVE EL,7,East,,Youth Development Program,Youth Services
,FLOURNOY EL,7,South,,LA's Best,Youth Services
,FORD BLVD EL,2,East,,Youth Development Program,Youth Services
,FOSHAY LC,1,South,,YS PLUS,Youth Services
,FRANKLIN AVE EL,2,West,,Boys & Girls Clubs of Carson,Youth Services
,FRANKLIN HS (MS),2,East,,UCLA,Youth Services
,FREMONT SH,7,South,,ARC,
