CostCenterCode,LocationCode,CDSCode,School,Charter,SchoolYear,BeforeSchoolGrantProgram,AfterSchoolGeneralFundedPrograms,AfterSchoolGrantProgram
1615801,6158,19647336018808,Purche Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1616401,6164,19647336018816,Queen Anne Pl El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1617801,6178,19647336018824,Ramona El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1617901,6179,19647330109405,Kingsley El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,STAR Education
1619201,6192,19647336018832,Ranchito Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1621901,6219,19647336018840,Raymond Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1623301,6233,19647336018857,Reseda El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1626001,6260,19647336018873,Richland Ave El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1627401,6274,19647336018881,Hamasaki Med/Sci Mag,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1628801,6288,19647336018907,Rio Vista El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1630101,6301,19647336018915,Ritter El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1631501,6315,19647336018923,Riverside Dr CS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1632901,6329,19647336018949,Rockdale VAPA Mag,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1634201,6342,19647336016539,Coeur D Alene Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1635601,6356,19647336018956,Roscoe El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1636301,6363,19647336018964,Roscomare Rd El,Traditional Schools,2021-2022,NA,Youth Services,NA
1637001,6370,19647336018972,Rosemont Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1638401,6384,19647336018980,Rosewood UP/UD Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1642501,6425,19647336018998,Rowan Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1642601,6426,19647330109280,Amanecer PC,Traditional Schools,2021-2022,NA,NA,Youth Development Program
1643801,6438,19647336019004,Russell El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1645201,6452,19647336019012,San Fernando El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1646601,6466,19647336019020,San Gabriel Ave El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1647901,6479,19647336019038,San Jose St El,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1649301,6493,19647336019046,San Pascual STEAM Mg,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1650101,6501,19647330125971,San Fernando MS IAM,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,EduCare Foundation
1650701,6507,19647336019053,San Pedro St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1653401,6534,19647336019061,King Jr El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1654801,6548,19647336019079,Santa Monica Blvd Co,Independent,2021-2022,Ready-Set-Go!,NA,LA's BEST
1654901,6549,19647330109298,Hollywood El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1656501,6565,19647336019087,Saticoy El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1657501,6575,19647336019095,2nd St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1660601,6606,19647336019111,Serrania Ave CES,Affiliated Charters,2021-2022,NA,Youth Services,NA
1661601,6616,19647336019129,7th St El AI Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1663001,6630,19647336019137,75th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1664401,6644,19647336019145,74th St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1665801,6658,19647336018105,McKinley Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1666501,6665,19647336019152,Sharp Ave El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1667101,6671,19647336019160,Shenandoah St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
