CostCenterCode,LocationCode,CDSCode,School,Charter,SchoolYear,BeforeSchoolGrantProgram,AfterSchoolGeneralFundedPrograms,AfterSchoolGrantProgram
1194801,1948,19647336060461,Lowman Sp Ed & CTC,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1194901,1949,19647336060529,Marlton School,Traditional Schools,2021-2022,NA,NA,LA's BEST
1201401,2014,19647336015705,Albion St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1202701,2027,19647336015713,Aldama El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1204101,2041,19647336015721,Alexandria Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1204201,2042,19647330109314,Harvard El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1206801,2068,19647336015739,Allesandro El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1208201,2082,19647336015747,Alta Loma El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1208901,2089,19647336015754,Ambler Ave El,Traditional Schools,2021-2022,NA,Youth Services,Gang Alternatives Program
1209601,2096,19647336015762,Amestoy El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1211001,2110,19647336015770,Anatola Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1211701,2117,19647336015796,Andasol Ave El,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1212301,2123,19647336015804,Angeles Mesa El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1213701,2137,19647336015812,Ann St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1214601,2146,19647336015820,Annalee Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1215101,2151,19647336015838,Annandale El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1216401,2164,19647336015846,Apperson St El,Traditional Schools,2021-2022,NA,Youth Services,NA
1217801,2178,19647336015853,Aragon Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1219201,2192,19647336015861,Arlington Hts El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1220501,2205,19647336015879,Arminta St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1221901,2219,19647336015887,Ascot Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1223301,2233,19647336015895,Atwater Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1224701,2247,19647336015903,Avalon Gardens El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1225001,2250,19647330125096,Acad Enrich Sci Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1226901,2269,19647336100069,Balboa El G/HG/HA Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1227401,2274,19647336015929,Baldwin Hills El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1228801,2288,19647336015945,Bandini St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1230101,2301,19647330111955,De la Torre Jr El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1230201,2302,19647330126441,Obama El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1230301,2303,19647330126607,Porter Ranch School,Traditional Schools,2021-2022,NA,Youth Services,NA
1230601,2306,19647330126383,Playa Vista El,Traditional Schools,2021-2022,NA,Youth Services,NA
1230701,2307,19647330128710,Lee El Med Hlth Mag,Traditional Schools,2021-2022,NA,Youth Services,Creative Brain Learning
1230801,2308,19647330126375,Ride El Smart Acad,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1230901,2309,19647330126409,Willow El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1231101,2311,19647330126417,Poindexter LaMotte El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1231201,2312,19647330126425,Lawson Acad A/M/S El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1231301,2313,19647330126433,Moore M/S/T Acad,Traditional Schools,2021-2022,NA,Youth Services,Keep Youth Doing Something
1231501,2315,19647336015952,Barton Hill El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Boys & Girls Club of LA Harbor
1232301,2323,19647336015960,Bassett St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1232901,2329,19647336015978,Beachy Ave El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1233501,2335,19647336015986,Beckford CES,Affiliated Charters,2021-2022,NA,Youth Services,NA
1234201,2342,19647336015994,Beethoven St El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1864311,2345,NA,Franklin HS,Traditional Schools,2021-2022,NA,Youth Services,NA
1236901,2369,19647330121103,RFK Ambsdr Glbl Edu,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1237201,2372,19647336118186,Ochoa LC,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1237501,2375,19647336107411,Hughes El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1237801,2378,19647336110274,Nueva Vista El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1238101,2381,19647330109363,Maywood El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1238301,2383,19647336110969,Esperanza El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1238401,2384,19647336110266,Politi El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1238501,2385,19647336113419,Gratts LA for YS,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1238601,2386,19647330111971,Del Olmo El,Traditional Schools,2021-2022,NA,Youth Services,A World Fit For Kids!
1239101,2391,19647330111997,Huntngtn Pk El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1239201,2392,19647330109181,Olympic PC,Traditional Schools,2021-2022,NA,NA,Youth Development Program
1239301,2393,19647330109199,Lake St Primary,Traditional Schools,2021-2022,NA,NA,Youth Development Program
1239701,2397,19647336016018,Belvedere El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1243801,2438,19647336016026,Bertrand Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1247001,2470,19647336016034,Blythe St El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1247301,2473,19647336016042,Bonita St El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1247901,2479,19647336016059,Braddock Dr El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1248601,2486,19647336016067,Brainard El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1249301,2493,19647336016075,Breed St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Keep Youth Doing Something
1250701,2507,19647336016083,Brentwood El Sci Mag,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1252101,2521,19647336016091,Bridge St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1252701,2527,19647336016109,Broad Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1253001,2530,19647336016117,Broadacres Av El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1253401,2534,19647336016125,Broadway El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1254201,2542,19647330106948,White El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1254401,2544,19647336120810,MacArthur Pk El VAPA,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1254801,2548,19647336016133,Brockton Ave El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1256201,2562,19647336016141,Brooklyn Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1258901,2589,19647336016158,Bryson Ave El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1260301,2603,19647336016166,Buchanan St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1261601,2616,19647336016174,Budlong Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1261901,2619,19647330112003,Wilshire Park El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1263001,2630,19647336016182,Burbank Blvd El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1264401,2644,19647336066286,Saturn St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1265801,2658,19647336016208,Burton St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1267101,2671,19647336016216,Bushnell Way El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1268501,2685,19647336016224,Cabrillo Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1269901,2699,19647336016232,Cahuenga El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1270101,2701,19647330111989,Kim El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1270401,2704,19647336016240,Calabash CA,Affiliated Charters,2021-2022,NA,Youth Services,NA
1270601,2706,19647336016257,Calahan St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1271201,2712,19647336016265,Calvert CES,Affiliated Charters,2021-2022,NA,Youth Services,Creative Brain Learning
1272601,2726,19647336016273,Camellia Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1274001,2740,19647336016281,Canfield Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1274101,2741,19647336094726,Community El Mag CS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1275301,2753,19647336016299,Canoga Park El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1276701,2767,19647336016307,Cantara St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1278101,2781,19647336016315,Canterbury Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1279501,2795,19647336016323,Canyon CEl,Affiliated Charters,2021-2022,NA,Youth Services,NA
1280201,2802,19647336016331,Capistrano Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1281501,2815,19647336016349,Caroldale LC,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1282201,2822,19647336016356,Carpenter Comm Chtr,Affiliated Charters,2021-2022,NA,Youth Services,NA
1283601,2836,19647336016364,Carson St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1284901,2849,19647336016372,Carthay El ES Mag,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1286301,2863,19647336016380,Castelar St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1287701,2877,19647336016398,Castle Hts El,Traditional Schools,2021-2022,NA,Youth Services,NA
1288101,2881,19647336071435,Castlebay Ln Chtr,Affiliated Charters,2021-2022,NA,Youth Services,NA
1289001,2890,19647336016406,Catskill Ave El,Traditional Schools,2021-2022,NA,Youth Services,Gang Alternatives Program
1293901,2939,19647330122101,Carson-Gore Academy,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1294201,2942,19647330122119,Estrella El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1294301,2943,19647330122127,Jones El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1294401,2944,19647330122135,Huerta El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1294501,2945,19647336016414,Century Park El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1295901,2959,19647336016422,Chandler El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1298601,2986,19647336016430,Chapman El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1300201,3002,19647336016448,Charnock Road El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1301401,3014,19647336016455,Chase St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1302701,3027,19647336016463,Chatsworth UP/CD Mag,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1304101,3041,19647336016471,Cheremoya Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1306801,3068,19647336016489,Cienega El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1308201,3082,19647336016497,Cimarron Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1309601,3096,19647336016505,City Terrace El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1311001,3110,19647336016513,Clifford St M/T Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1312301,3123,19647336016521,Clover Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1313701,3137,19647336016547,Cohasset St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1315101,3151,19647336016554,Coldwater Cyn El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1316401,3164,19647336016562,Colfax CEl,Affiliated Charters,2021-2022,NA,Youth Services,NA
1317801,3178,19647336016570,Coliseum St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1319201,3192,19647336016604,Commonwlth Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1320501,3205,19647336016612,Compton Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1321001,3210,19647330109413,Madison El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1321901,3219,19647336016620,Corona Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1322001,3220,19647330109207,Escutia PC,Traditional Schools,2021-2022,NA,NA,LA's BEST
1324701,3247,19647336016638,Plasencia El,Traditional Schools,2021-2022,NA,Youth Services,A World Fit For Kids!
1326001,3260,19647336016646,Cowan Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1328801,3288,19647336016653,Crescent Hts Bl El Mg,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1330201,3302,19647336016661,Crestwood St STEAM Mg,Traditional Schools,2021-2022,NA,Youth Services,Creative Brain Learning
1331101,3311,19647331931054,Westside Glbl Awr Mag,Traditional Schools,2021-2022,NA,Youth Services,Team Prime Time
1331501,3315,19647336016679,Dena El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1332901,3329,19647336016687,Dahlia Hts El,Traditional Schools,2021-2022,NA,Youth Services,NA
1333501,3335,19647336016695,Danube Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1334001,3340,19647336016703,Darby Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1335601,3356,19647336016711,Dayton Heights El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1337701,3377,19647336016729,Dearborn El CA,Affiliated Charters,2021-2022,NA,Youth Services,NA
1338401,3384,19647336016737,Del Amo El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1339701,3397,19647336016745,Delevan Drive El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1342501,3425,19647336016752,Denker Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1342601,3426,19647330109223,Garza PC,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1343801,3438,19647336016778,Dixie Cyn CC,Affiliated Charters,2021-2022,NA,Youth Services,NA
1345201,3452,19647336016786,Dolores St El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1346601,3466,19647336016794,Dominguez El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1347901,3479,19647336016802,Dorris Place El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1349301,3493,19647336016828,Dyer St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1350001,3500,19647331931070,Mid-city PSES Mag,Traditional Schools,2021-2022,NA,Youth Services,Creative Brain Learning
1350701,3507,19647336016836,Eagle Rock El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1352101,3521,19647336016844,Eastman Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1354101,3541,19647336016851,El Dorado Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1354501,3545,19647336016869,El Oro Way CES,Affiliated Charters,2021-2022,NA,Youth Services,NA
1354801,3548,19647336016885,Elizabeth LC,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1356201,3562,19647336016877,El Sereno El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1357401,3574,19647330109397,Sendak El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1357501,3575,19647336016893,Elysian Hts Arts Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1357601,3576,19647330109371,Parks LC,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1357701,3577,19647330106914,Bellingham El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1358901,3589,19647336016901,Emelita St El,Traditional Schools,2021-2022,NA,Youth Services,Keep Youth Doing Something
1361001,3610,19647330117036,Enadia Way,Affiliated Charters,2021-2022,NA,Youth Services,Youth Development Program
1361601,3616,19647336016935,Encino CEl,Affiliated Charters,2021-2022,NA,Youth Services,NA
1363001,3630,19647336016943,Erwin El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1364001,3640,19647336016950,Eshelman Ave El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1367101,3671,19647336016968,Euclid Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1369901,3699,19647336016976,Evergreen Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1371201,3712,19647336016984,Fair Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1372601,3726,19647336016992,Fairburn Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1374001,3740,19647336017008,Farmdale El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1374701,3747,19647336017016,Fenton Ave El,Independent,2021-2022,NA,NA,LA's BEST
1375301,3753,19647336017024,Fernangeles El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1376701,3767,19647336017032,15th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1378101,3781,19647336017040,54th St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1379501,3795,19647336017057,59th St El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1380801,3808,19647336017065,52nd St El,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1382201,3822,19647336017073,Figueroa St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1382901,3829,19647336017081,Broadous El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1383601,3836,19647336017099,1st St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1384901,3849,19647336089700,Fishburn Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1387701,3877,19647336017115,Fletcher Dr El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1389001,3890,19647336017123,Florence Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1391801,3918,19647336017131,Ford Blvd El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1393201,3932,19647336017149,49th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1395901,3959,19647336017156,42nd St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1397301,3973,19647336017164,4th St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1398601,3986,19647336017172,Franklin Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1401401,4014,19647336017180,Fries Ave El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of LA Harbor
1402001,4020,19647330109231,Bakewell PC,Traditional Schools,2021-2022,NA,NA,LA's BEST
1402701,4027,19647336017198,Fullbright Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1404101,4041,19647336017214,Gardena El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1405501,4055,19647336017206,Garden Grove El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1406801,4068,19647336017222,Gardner St El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1408201,4082,19647336017230,Garvanza El T/L Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1409601,4096,19647336017248,Gates St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1411001,4110,19647336017255,Gault St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1411701,4117,19647336017263,Germain Acad AA,Traditional Schools,2021-2022,NA,Youth Services,NA
1412301,4123,19647336017271,Glassell Pk STEAM Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1413001,4130,19647336017289,Gledhill St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1413701,4137,19647336017297,Glen Alta El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1416401,4164,19647336017305,Glenfeliz Blvd El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1419201,4192,19647336017313,Glenwood El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1421901,4219,19647336017321,Graham El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1423301,4233,19647336017339,Granada El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1424701,4247,19647336017347,Grand Vw Bl El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1426001,4260,19647336017354,Grant El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1427401,4274,19647336017362,Grape St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1429501,4295,19647336017388,Gridley St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1430101,4301,19647336017396,Griffin Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1431501,4315,19647336017404,Gulf Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Boys & Girls Club of LA Harbor
1432201,4322,19647331932896,Arroyo Seco Mus/S Mag,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1432901,4329,19647336017412,Haddon Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Woodcraft Rangers
1434201,4342,19647336017420,Halldale El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1434901,4349,19647336017438,Hamlin CA,Affiliated Charters,2021-2022,NA,Youth Services,Youth Development Program
1435601,4356,19647336017446,Anton El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1439701,4397,19647336017453,Hancock Park El,Traditional Schools,2021-2022,NA,Youth Services,NA
1442501,4425,19647336017461,Harbor City El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of LA Harbor
1443101,4431,19647336017479,Harding St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1443801,4438,19647336017487,Harrison St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1444501,4445,19647336017495,Hart St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1445201,4452,19647336017503,Haskell El STEAM Mag,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1446601,4466,19647336017511,Hawaiian Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1447301,4473,19647336017529,Haynes CES,Affiliated Charters,2021-2022,NA,Youth Services,NA
1449301,4493,19647336017537,Hazeltine Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1450701,4507,19647336017545,Heliotrope Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1451501,4515,19647336017552,Herrick Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1452101,4521,19647330112060,Hesby Oaks Lead Chtr,Affiliated Charters,2021-2022,NA,Youth Services,NA
1452801,4528,19647336017586,Hillcrest Dr El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1453401,4534,19647336017594,Hillside El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1454801,4548,19647336017602,Hobart Blvd El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1456201,4562,19647336017610,Holmes Ave El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1457501,4575,19647336017628,Hooper Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1457601,4576,19647330109249,Hooper Ave PC,Traditional Schools,2021-2022,NA,NA,LA's BEST
1458901,4589,19647336017636,Hoover St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1460301,4603,19647336017644,Hubbard St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1461601,4616,19647336017651,Humphreys Ave El,Traditional Schools,2021-2022,NA,Youth Services,Keep Youth Doing Something
1463001,4630,19647336017669,Huntington Dr El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1464001,4640,19647336110977,Walnut Park El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1464101,4641,19647336112411,San Antonio El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1464201,4642,19647330109322,Pacific Blvd School,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1465801,4658,19647336017677,YES Academy,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1467101,4671,19647336017685,Ivanhoe El,Traditional Schools,2021-2022,NA,Youth Services,NA
1468001,4680,19647330109330,Lizarraga El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1468101,4681,19647330106955,Harmony El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1468501,4685,19647330109348,Aurora El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1469201,4692,19647336017693,Justice St Acad Chtr,Affiliated Charters,2021-2022,NA,Youth Services,NA
1469601,4696,19647336071443,Kennedy El,Traditional Schools,2021-2022,NA,Youth Services,Keep Youth Doing Something
1469901,4699,19647336017701,Kenter Canyon EC,Affiliated Charters,2021-2022,NA,Youth Services,NA
1471201,4712,19647336017719,Kentwood El,Traditional Schools,2021-2022,NA,Youth Services,NA
1472601,4726,19647336017727,Kester Ave El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1476001,4760,19647336017735,Kittridge St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1476201,4762,19647336017743,Knollwood Prep Acad,Affiliated Charters,2021-2022,NA,Youth Services,Keep Youth Doing Something
1476401,4764,19647336017768,Lanai Rd El,Traditional Schools,2021-2022,NA,Youth Services,NA
1476701,4767,19647336018931,Lane El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1477501,4775,19647336017776,Langdon Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1477601,4776,19647336116842,Primary Academy,Traditional Schools,2021-2022,NA,NA,LA's BEST
1478101,4781,19647336017784,Lankershim El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1478601,4786,19647336017750,La Salle Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1479001,4790,19647336017792,Lassen El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1479501,4795,19647336017800,Latona Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1480801,4808,19647336017818,Laurel CACT Mag,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1482901,4829,19647336017826,Leapwood El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1483601,4836,19647336017834,Leland St El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
